Mins,BF,4s,6s,SR,Position,Dismissal,Run,year,Opposition_ England,Opposition_ New Zealand,Opposition_ Pakistan,Opposition_ Sri Lanka,Opposition_Afghanistan,Opposition_Australia,Opposition_Bangladesh,Opposition_England,Opposition_Hong Kong,Opposition_Ireland,Opposition_Namibia,Opposition_Netherlands,Opposition_New Zealand,Opposition_Pakistan,Opposition_Scotland,Opposition_South Africa,Opposition_Sri Lanka,Opposition_U.A.E.,Opposition_West Indies,Opposition_Zimbabwe,Ground_Abu Dhabi,Ground_Adelaide,Ground_Ahmedabad,Ground_Auckland,Ground_Bengaluru,Ground_Birmingham,Ground_Brisbane,Ground_Bristol,Ground_Canberra,Ground_Cardiff,Ground_Centurion,Ground_Chennai,Ground_Colombo (RPS),Ground_Cuttack,Ground_Delhi,Ground_Dharamsala,Ground_Dubai (DSC),Ground_Dublin (Malahide),Ground_Durban,Ground_Eden Gardens,Ground_Guwahati,Ground_Hamilton,Ground_Harare,Ground_Hyderabad,Ground_Indore,Ground_Johannesburg,Ground_Kanpur,Ground_Kingston,Ground_Lauderhill,Ground_Manchester,Ground_Melbourne,Ground_Mirpur,Ground_Mohali,Ground_Nagpur,Ground_Nottingham,Ground_Pallekele,Ground_Perth,Ground_Port of Spain,Ground_Providence,Ground_Pune,Ground_Rajkot,Ground_Ranchi,Ground_Sydney,Ground_Thiruvananthapuram,Ground_Visakhapatnam,Ground_Wankhede,Ground_Wellington
35,17,2,0,123.52,3,0,21,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,20,7,0,190,3,0,38,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,11,1,0,81.81,3,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,22,3,0,122.72,3,0,27,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,22,2,1,131.81,4,0,29,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,32,4,1,112.5,3,1,36,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,41,5,1,131.7,3,0,54,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,50,3,1,114,3,1,57,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,2,1,104.54,3,0,23,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,44,5,2,163.63,3,1,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
